id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
992572079374524416,https://twitter.com/iestroud/status/992572079374524416,Sat May 05 01:09:59 +0000 2018,2018-05-05 01:09:59+00:00,iestroud,@BrynMawrCollege may rename Thomas Library. @WebDilettante says name it for Jessie Fauset. M. Carey Thomas denied her admission. Nickname: Palace Athena.,original,,,,,0,BrynMawrCollege,,30231500,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",194670865,Fri Sep 24 18:16:59 +0000 2010,False,Graduate student in American religion. Suburban mom. Living with lung cancer.,1660,610,589,31,Central New Jersey,Beth Stroud,5966,,http://www.thrivingwithlungcancer.com,False
991763543887437824,https://twitter.com/Scarpuss/status/991763543887437824,Wed May 02 19:37:09 +0000 2018,2018-05-02 19:37:09+00:00,Scarpuss,@BrynMawrCollege @DumbartonOaks Gefeliciflapstaart!,reply,,,,,0,BrynMawrCollege,991709119928242176,30231500,nl,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",42249928,Sun May 24 17:49:37 +0000 2009,False,Hoorspelcriticus. CETA-TTIP-deskundige. Socialemediadeskundige. Deskundige militaire strategie. Moslimdeskundige (A t/m IRAM).,2388,801,1132,39,"Sombeke, BE - Mohammedia, MA",Scarpuss,55416,Amsterdam,http://scarpuss.blogspot.com/,False
989116863337697280,https://twitter.com/PenteraInc/status/989116863337697280,Wed Apr 25 12:20:11 +0000 2018,2018-04-25 12:20:11+00:00,PenteraInc,@BrynMawrCollege receives anonymous gift totaling $25 million. #philanthropy https://t.co/WtpVCEvwBU,original,,philanthropy,,http://owl.li/Xx3030j6oiE,0,BrynMawrCollege,,30231500,en,,False,0,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",17569285,Sun Nov 23 05:10:41 +0000 2008,False,Claudine Donikian is CEO of the nation's top boutique planned giving marketing firm & on Women's Philanthropy Institute's Council at IU School of Philanthropy.,208,495,288,73,"Boston, MA","Pentera, Inc.",4612,Eastern Time (US & Canada),http://www.pentera.com,False
